A,B,C,D,E,F,G
商品编号,商品名称,二级分类,三级分类,首次入库时间,销量7天band,点击7天band
10271973,普通高等教育精编法学教材：环境资源法,大中专教材教辅,大学教材,2010/11/2,F,F
10271993,罗家伦论人生,传记,学者,2010/11/2,F,F
10272048,当代中国文学的艺术问题,文学,文学理论,2010/11/6,E,F
10272059,当代教育行政原理/21世纪教育科学系列教材,大中专教材教辅,大学教材,2010/11/2,F,F
10272062,全国高职高专国际商务类规划教材：国际货物运输保险,大中专教材教辅,高职高专教材,2010/11/2,F,F
10272082,文学理论前沿（第6辑）,文学,文学理论,2010/11/6,F,F
10272158,帕森斯学术思想评传,社会科学,社会学,2010/11/6,F,F
10272213,全国本科院校机械类创新型应用人才培养规划教材：逆向建模技术与产品创新设计（赠送电子课件）,大中专教材教辅,大学教材,2010/11/6,F,F
10272254,港澳与内地刑事法律比较及刑事司法协助研究,法律,外国法律与港澳台法律,2010/11/2,F,E
10272273,3ds Max 室外建筑艺术与效果图表现案例教程/21世纪全国高职高专艺术设计系列技能型规划教材,大中专教材教辅,高职高专教材,2010/11/2,F,F
10272416,电路基础实验,大中专教材教辅,大学教材,2010/11/2,F,F
10338187,高等教育重点建设政策研究,社会科学,教育,2010/11/14,E,E
10355571,员工福利/21世纪经济与管理规划教材·保险学系列,大中专教材教辅,大学教材,2010/11/20,F,F
10368769,中国现代诗歌艺术,文学,文学评论与研究,2010/12/6,F,E
10370046,中国当代经济问题概要,大中专教材教辅,大学教材,2010/12/9,F,F
10370090,我们的青春,文学,散文/随笔/书信,2010/12/9,F,F
10374050,数字信号处理,大中专教材教辅,大学教材,2011/1/24,F,E
10374069,汇编语言程序设计,大中专教材教辅,大学教材,2011/1/24,F,F
10377507,燕园风骨：陆卓明先生纪念文集,传记,学者,2011/1/9,F,F
10377538,魏建功文选,社会科学,语言文字,2010/12/29,F,F
10392342,美学原理（第4版）,大中专教材教辅,大学教材,2011/1/30,E,E
10392349,我爱故我在：西方文学大师的爱情与爱情心理学,文学,文学评论与研究,2011/1/30,F,F
10395279,劳动法精要与依据指引（增订本）,法律,法律法规,2011/2/17,F,E
10431250,工程结构检测/21世纪全国应用型本科土木建筑系列实用规划教材,大中专教材教辅,大学教材,2011/3/27,F,F
10431833,法学实验课程系列教材：证据调查实验教程,大中专教材教辅,大学教材,2011/3/27,F,F
10431903,外交学经典选读：从柯门斯到瓦泰勒,政治/军事,世界政治,2011/3/27,E,E
10434035,北大附中课程改革校本教材：北大附中学生成长的故事,社会科学,教育,2011/3/26,F,F
10434094,电路分析基础/21世纪全国高职高专电子信息系列实用规划教材,大中专教材教辅,高职高专教材,2011/3/27,F,F
10442558,会计学原理习题与实验/21世纪实用规划教材,大中专教材教辅,大学教材,2011/7/16,F,F
10445698,21世纪全国高职高专旅游系列实用规划教材：旅游公共关系,大中专教材教辅,高职高专教材,2011/7/31,F,F
10446673,刑法学研究（第4卷）,法律,刑法,2011/3/28,F,E
10448821,植物组织培养技术/21世纪全国高职高专农林园艺类规划教材,大中专教材教辅,高职高专教材,2011/3/27,F,F
